palabra,n
pudo,2
puedas,2
pujllay,2
pukyu,2
pulso,2
puntería,2
puqunanpaq,2
puriskayta,2
purisqanki,2
pétalos,2
pónganle,2
q,2
q'enti,2
q'omer,2
q'ory,2
qhawasun,2
qochakunachis,2
qolqellojra,2
quedamos,2
quedo,2
quejas,2
querelo,2
querencia,2
quinto,2
quisieras,2
quisiste,2
quiéreme,2
quédate,2
raíces,2
rebeldia,2
recibir,2
recién,2
recogido,2
recogí,2
recordadas,2
recordarme,2
recordarás,2
recorrí,2
refinada,2
regalarte,2
regalo,2
regimiento,2
regresaré,2
reicota,2
remolinos,2
remplazará,2
rendida,2
repetirás,2
resista,2
respirar,2
resultado,2
retamas,2
reve,2
rezando,2
reúne,2
rica,2
richy,2
rimaykita,2
ripusaj,2
ripushkani,2
ripuychu,2
robas,2
robe,2
rocío,2
rojas,2
rompa,2
romper,2
romperla,2
roncadoras,2
roto,2
rotonda,2
rubias,2
rubor,2
rueca,2
rueda,2
ruedas,2
rueditas,2
ruge,2
rítmico,2
sa,2
saavedra,2
saberse,2
saboreando,2
saciar,2
sale,2
salen,2
saludaré,2
salvadora,2
salí,2
sambo,2
sanarán,2
sangran,2
santisima,2
santosmanta,2
sapo,2
saqewanki,2
saqisqayki,2
saqra,2
saquen,2
savia,2
sazonando,2
segundita,2
seguís,2
seis,2
selvas,2
semana,2
sembra,2
sembrar,2
sembraste,2
semillas,2
sencillo,2
sepa,2
sepulcro,2
sepulcros,2
sepultado,2
serenata,2
servir,2
sienten,2
silbado,2
silban,2
sillas,2
silueta,2
singular,2
sino,2
sintió,2
sirves,2
socio,2
solteras,2
sombras,2
sombrerito,2
sombríos,2
somó,2
sones,2
sonrías,2
sonso,2
sospechado,2
soñas,2
suave,2
subite,2
subo,2
sucumba,2
suegra,2
sueñas,2
sumaj,2
sunqitullayta,2
supe,2
suplicando,2
supo,2
surco,2
suspira,2
t,2
t'ikas,2
t'inpusqatapuni,2
tacho,2
takikuq,2
takina,2
takirikuspa,2
takirikuy,2
takispa,2
tambora,2
tamboras,2
tamboritas,2
tantos,2
tapera,2
tapo,2
tari,2
tarpusqaykita,2
tata,2
tatayqi,2
tejidos,2
temible,2
temimbi,2
temor,2
tempranito,2
tenta,2
tentación,2
terminara,2
ternero,2
thanta,2
tian,2
tiernas,2
tipoi,2
tirante,2
titanes,2
tiyanña,2
tobita,2
tocar,2
toditas,2
tomará,2
tomé,2
tonto,2
torcer,2
torito,2
torno,2
toroyo,2
trabaja,2
traerá,2
traeré,2
trajera,2
trajeron,2
trajo,2
tramposa,2
traquetear,2
tras,2
trasero,2
traviesa,2
trayendo,2
trinador,2
trinidad,2
trofeo,2
tronco,2
tropical,2
tufo,2
tukuy,2
tullirme,2
tumbos,2
tusuna,2
tususpa,2
tuta,2
tutumitay,2
tí,2
ubiquen,2
uksituta,2
ukyasunpuni,2
ulalitay,2
umsa,2
urutaki,2
usarán,2
uvas,2
uyuyuy,2
vaca,2
vaga,2
vagaba,2
valer,2
valles,2
vecina,2
vela,2
veloz,2
venado,2
venas,2
vence,2
vencer,2
vender,2
venga,2
vengan,2
ventana,2
vente,2
verano,2
verdaderamente,2
veremos,2
verlo,2
viagra,2
viajar,2
viajero,2
vicio,2
viday,2
viejito,2
villa,2
virginal,2
virtud,2
vistiéndonos,2
vito,2
viven,2
vividas,2
viviría,2
viña,2
voces,2
volar,2
volveran,2
volverte,2
vuela,2
vuelta,2
vueltita,2
vuelto,2
vuelvo,2
waqanaypaq,2
waqashaqta,2
waqharikuspa,2
wara,2
warita,2
wawitay,2
yakitu,2
yakitunchispis,2
yakutaqa,2
yapa,2
yara,2
yayere,2
yeah,2
yere,2
yuyakunki,2
yuyasunaypaq,2
zapateadito,2
zapateao,2
zapato,2
zorzal,2
zorzalito,2
ábrelas,2
ä,2
ñeque,2
ñuqari,2
único,2
15,1
16,1
abismo,1
aborrece,1
aborrecido,1
abramcito,1
abrazo,1
abrirán,1
abuela,1
acha,1
acompañado,1
adueñó,1
ahogará,1
ahogó,1
aju,1
alaxpacha,1
alcanza,1
alejará,1
altitud,1
altivo,1
alturas,1
alumbras,1
amadas,1
amanece,1
amarla,1
amaña,1
ana,1
andan,1
anhelo,1
anocheciendo,1
antorcha,1
aplaude,1
aquellos,1
arco,1
arrepientas,1
arrepiento,1
arriba,1
arrugados,1
arte,1
asi,1
astilla,1
ata,1
atas,1
atendía,1
atravesaste,1
aurora,1
avance,1
ayuda,1
azada,1
añora,1
baepota,1
bailan,1
bailaremos,1
baile,1
bailecito,1
balcón,1
barrio,1
bellota,1
beni,1
bolsillo,1
bombo,1
borde,1
brindan,1
brindar,1
cacho,1
calentada,1
callo,1
caminamos,1
campesino,1
campesinos,1
cantaremos,1
cantarla,1
cantaron,1
cantarte,1
cantorcito,1
cantémosle,1
capitales,1
capitalino,1
capricho,1
carga,1
cariñito,1
carmín,1
carretero,1
carupi,1
casó,1
causado,1
cava,1
celulares,1
ch'iti,1
ch'utillos,1
chaco,1
chaqueño,1
charazani,1
charque,1
chencodeya,1
chepiacavi,1
chevo,1
cheäkañ,1
chueco,1
chura,1
ciego,1
ciegos,1
cielos,1
cierra,1
cimentar,1
ciudadano,1
claro,1
clavelina,1
cobarde,1
cobija,1
cobijan,1
cocacho,1
coje,1
compartimos,1
compañeritos,1
completaron,1
comprar,1
concepción,1
condenada,1
condiciones,1
conoci,1
consuma,1
convertía,1
cordillera,1
corriendo,1
corteza,1
creció,1
crecía,1
cruzó,1
cría,1
cuanta,1
cuchillo,1
cuervos,1
cuidao,1
cuidaremos,1
cuántas,1
cóndor,1
debemos,1
decidido,1
decías,1
dedica,1
defensa,1
dejarle,1
demahepora,1
demederete,1
deparó,1
deprime,1
desahojada,1
desbordan,1
desconsuelo,1
desechos,1
deseo,1
desgarra,1
deshecho,1
desiertas,1
designios,1
desinflado,1
desmayes,1
despecho,1
despiel,1
destrozas,1
detenga,1
detengas,1
diferentes,1
diosa,1
diputados,1
diré,1
diste,1
dormirme,1
dudoso,1
dure,1
débil,1
eches,1
ehh,1
embeleso,1
emborracharme,1
empanizao,1
empieza,1
encontrarte,1
endereza,1
enfermo,1
engañó,1
enrique,1
entendido,1
entendidos,1
entendí,1
entregaste,1
entrometidos,1
envenenado,1
erque,1
escapan,1
escarmiento,1
escondía,1
esforzados,1
esfuerzo,1
espalda,1
espejos,1
esperamos,1
espero,1
estan,1
estara,1
estira,1
estirando,1
estremecía,1
estudiando,1
estudiante,1
estudiar,1
eternos,1
existen,1
explicar,1
explicarme,1
falsa,1
faz,1
ferroviario,1
fiera,1
fieras,1
fiestas,1
figura,1
forma,1
formado,1
frenesí,1
furtivo,1
fué,1
fértil,1
gabrielito,1
gallardía,1
ganarle,1
giles,1
grave,1
guapuru,1
guapurú,1
guasu,1
haberla,1
habitamos,1
habitante,1
hade,1
halagan,1
hallan,1
hamaca,1
helada,1
helado,1
hermoso,1
historia,1
hoja,1
hombro,1
hora,1
huayñito,1
hurgando,1
huyas,1
ido,1
iji,1
ikavi,1
ilumina,1
imaginarse,1
imamaypis,1
imaypis,1
imponente,1
imponiendo,1
indios,1
industrial,1
inflan,1
inmensidad,1
inquieto,1
inquietud,1
intenciones,1
inútil,1
ira,1
iris,1
irá,1
jijusa,1
jilguero,1
juanas,1
julio,1
jungla,1
k,1
kagüi,1
keape,1
kutimunaykipaj,1
lana,1
lanamanta,1
lazo,1
leer,1
lenta,1
levanta,1
liga,1
lista,1
llegando,1
llegaras,1
llegará,1
llevan,1
llevándose,1
lloqalla,1
llunk,1
llunk'ana,1
llévate,1
llévatela,1
locos,1
luchamos,1
luminoso,1
lunes,1
lágrima,1
madres,1
manda,1
mandilito,1
manejarnos,1
manojos,1
maravilloso,1
marchando,1
martirizaste,1
matar,1
maten,1
matizados,1
mecerse,1
melao,1
mensaje,1
mentira,1
mentiroso,1
mercado,1
meter,1
mientes,1
miento,1
militar,1
miras,1
mitsubishis,1
mojándome,1
mole,1
moles,1
moneda,1
monedas,1
moraijú,1
morido,1
morirse,1
morral,1
mostrado,1
motacú,1
moxos,1
mundos,1
muslos,1
nace,1
narices,1
negar,1
negaste,1
nomas,1
nombres,1
nombro,1
noqapis,1
norte,1
nostalgias,1
ojazos,1
ojeras,1
olvidarla,1
omee,1
orejas,1
oscuras,1
oscuridad,1
oscuro,1
ouh,1
ovejitas,1
oído,1
palladituy,1
palo,1
panes,1
partí,1
pasa,1
pasaba,1
pasas,1
pasos,1
patrias,1
peguache,1
peladinga,1
peligroso,1
pequeña,1
perlas,1
pesar,1
picar,1
picota,1
pide,1
piedras,1
planté,1
platanito,1
playas,1
poblao,1
pobres,1
pobreza,1
podi,1
podrá,1
podrás,1
poner,1
pregona,1
pregúntale,1
presencia,1
presente,1
presientes,1
presiento,1
preso,1
pretenciosa,1
pretender,1
primerita,1
princesa,1
propaganda,1
provinciano,1
psicólogos,1
puerco,1
pálida,1
q'aya,1
qasqayqimanta,1
quedará,1
quedó,1
queremos,1
queridos,1
quisieran,1
químicos,1
rajados,1
rasco,1
rata,1
realiza,1
rebalsa,1
reclama,1
reclaman,1
recogernos,1
recordarla,1
recreo,1
reforzando,1
regalos,1
resigné,1
respetarla,1
respiramos,1
resplandece,1
ripunayki,1
riqueza,1
rodríguez,1
románticas,1
rondando,1
rosibel,1
sabiendo,1
sacarán,1
sagrado,1
salimos,1
saliva,1
saltan,1
salva,1
satanaces,1
seca,1
seguiré,1
segunda,1
segura,1
según,1
sembrador,1
senos,1
sentido,1
sepas,1
señoreando,1
señorita,1
siglos,1
sigue,1
so,1
solitaria,1
soltera,1
soluciones,1
solución,1
sonríe,1
soplar,1
subimos,1
sudamérica,1
suegrita,1
suela,1
suelto,1
sueña,1
sufro,1
supiste,1
tajrarikuy,1
taquirari,1
tercerita,1
tetonas,1
tichela,1
tisú,1
tolerando,1
tomamos,1
tomando,1
tomemos,1
trabajadas,1
trabajaychu,1
trabajes,1
traición,1
trajinar,1
trancapechos,1
transcurre,1
tratar,1
trigo,1
trio,1
triunfar,1
tuerto,1
tunando,1
tutayamusanña,1
ucha,1
ultimita,1
usada,1
usado,1
utinayqui,1
valeno,1
valientes,1
vamonos,1
veamos,1
venir,1
vení,1
verla,1
verso,1
veía,1
vibrando,1
vienes,1
vientre,1
vio,1
vista,1
vivos,1
volvió,1
voto,1
vuelvas,1
waqarinqui,1
waqayanitaj,1
wasiyquiman,1
whipala,1
yakau,1
ye,1
yú,1
zambo,1
éste,1
ñande,1
última,1
